,Id,indegree,outdegree,Degree,weighted indegree,weighted outdegree,Weighted Degree,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,modularity_class,pageranks,Authority,Hub,componentnumber,strongcompnum,clustering,eigencentrality,screen_name
586,PRSWfreelance,2,0,2,2453,0,2453,0,0,0,0,82,5.10E-05,0.005451,0,0,751,0,0.011522,ChrisLawSNP
587,HouseofTwitsLib,43,0,43,220155,0,220155,0,0,0,0,75,0.000248,0.003147,0,0,88,0.001661,0.353703,jCalderLibDem
588,ScienceMarchBRS,3,0,3,2181,0,2181,0,0,0,0,8,5.50E-05,0.000167,0,0,750,0,0.017283,joymorrissey
589,Matt_J_Mills,1,0,1,909,0,909,0,0,0,0,75,4.90E-05,6.80E-05,0,0,749,0,0.005761,humairasanders
590,jannycat,2,0,2,8082,0,8082,0,0,0,0,130,5.20E-05,0.000132,0,0,748,0,0.011522,ChidiObihara
591,TheO530CarrisPT,3,0,3,3843,0,3843,0,0,0,0,75,5.30E-05,0.00127,0,0,747,0,0.017283,rkdasgupta
592,grumpyoldchris,1,0,1,814,0,814,0,0,0,0,75,4.90E-05,6.80E-05,0,0,746,0,0.005761,DamianHinds
593,FarEastFunko,1,0,1,235,0,235,0,0,0,0,75,4.90E-05,6.80E-05,0,0,745,0,0.005761,RRobinsonLD
594,YasminQureshiMP,0,48,48,0,148667,148667,1,1,1,0,21,4.60E-05,0,0.011586,0,801,0,0,timloughton
595,PlasticBadges,1,0,1,5293,0,5293,0,0,0,0,21,4.70E-05,0.000832,0,0,800,0,0.005761,lesliecgroves
596,quirilitu1970,1,0,1,3,0,3,0,0,0,0,21,4.70E-05,0.000832,0,0,799,0,0.005761,GregKnight
597,muttleyashworth,1,0,1,10648,0,10648,0,0,0,0,21,4.70E-05,0.000832,0,0,798,0,0.005761,JakeyLambert
598,malcolmclarke82,1,0,1,1389,0,1389,0,0,0,0,21,4.70E-05,0.000832,0,0,797,0,0.005761,GreenPPCRon
599,Noordad,1,0,1,1201,0,1201,0,0,0,0,21,4.70E-05,0.000832,0,0,796,0,0.005761,DeidreBrock
600,seanirving100,1,0,1,1696,0,1696,0,0,0,0,21,4.70E-05,0.000832,0,0,795,0,0.005761,lornagreens
601,MarxistMalc,1,0,1,41,0,41,0,0,0,0,21,4.70E-05,0.000832,0,0,794,0,0.005761,Mandytelford
602,naziasajjad2,1,0,1,1120,0,1120,0,0,0,0,21,4.70E-05,0.000832,0,0,793,0,0.005761,KateOsamor
603,rock_star876,1,0,1,1648,0,1648,0,0,0,0,21,4.70E-05,0.000832,0,0,792,0,0.005761,ERGreens
604,citizenNA,1,0,1,1503,0,1503,0,0,0,0,21,4.70E-05,0.000832,0,0,791,0,0.005761,GoltonStewart
