screen_name,device_count,fav_avg,fav_max,fav_std,fav_total,len_mean,rt_avg,rt_max,rt_std,rt_total,time_delta,follower,friends,eleted
JuliePorksen,3,0.791666667,22,2.394075442,190,120.9875,122.6875,8544,717.9857402,29445,1.523012552,1665,2060,1
grahamstuart,4,1.8,137,9.11625097,567,115.752381,383.3587302,51722,3402.213875,120758,1.159235669,5000,2450,1
JamesLovatt,6,0.532663317,204,6.022377737,636,129.2671692,2884.080402,1086049,34910.82837,3443592,0.306789606,1991,3549,0
radclifd,4,0.472527473,4,0.881315941,43,92.12087912,15.86813187,492,68.44974234,1444,3.933333333,628,1289,0
uknoel,5,0.633540373,51,2.583246167,816,103.5131988,93.08074534,13766,621.901377,119888,0.283605284,1157,974,0
Imran_HussainMP,6,10.41200546,1215,69.79593696,7632,131.5607094,381.5470668,20780,1280.920069,279674,0.495901639,5000,822,0
JudithCummins,5,1.580862534,53,4.944796095,1173,125.7345013,38.13477089,4680,228.1901266,28296,0.493927126,5000,1230,0
bingleyr,7,0.280966767,59,2.066397898,372,115.3534743,230.5845921,22370,1401.328956,305294,0.25170068,1662,1113,0
MaryMacleodUK,7,4.355670103,158,11.48474083,2535,126.1924399,128.6512027,11204,667.1482473,74875,0.624784854,5000,5000,0
TerenceSmith14,5,3.655670103,210,9.694668203,3546,100.9886598,380.2030928,124877,5485.553553,368797,0.377708978,1971,1824,1
karinsmyth,7,2.54214123,427,14.92143208,3348,118.2672741,81.32498102,14491,542.3972723,107105,0.142097264,5000,1612,1
3RGJ,5,0.340206186,8,1.111204398,33,122.6391753,365.7216495,10914,1237.742589,35475,3.791666667,121,86,1
andyg2439,7,0.596244131,19,2.029450995,127,122.6948357,18.11737089,2156,180.4319031,3859,1.716981132,197,260,1
BattyeJanet,5,0.356115108,7,0.959137435,99,117.6151079,212.8201439,29075,1875.924899,59164,1.277978339,873,489,0
RastrickCrusade,4,0.100917431,3,0.405126645,11,92.18348624,1.23853211,109,10.50286032,135,3.305555556,156,286,1
Sarulislam,5,0.126823082,11,0.691755683,200,114.2219404,208.7064046,17210,869.4753807,329130,0.232233503,487,1220,1
mark4ceredigion,5,5.355932203,92,8.48788004,4108,121.5384615,11.73794003,1529,74.62757883,9003,0.477806789,5000,3595,0
sj_robinson,6,0.599277978,9,1.383919844,166,114.3935018,293.2202166,21253,1650.335959,81222,1.322463768,1789,1953,1
AlexChalkChelt,4,1.083333333,30,4.774789117,78,127.3611111,3080.013889,194702,22853.61594,221761,4.718309859,5000,503,1
harriescoffee,5,0.64265928,11,1.487624896,232,119.4736842,104.767313,15798,872.3477388,37821,1.008333333,2698,3018,1
LabourSJ,5,3.730375427,397,18.67594131,2186,108.3805461,243.5853242,27128,1585.001939,142741,0.625641026,5000,2741,1
