screen_name,device_count,fav_avg,fav_max,fav_std,fav_total,len_mean,rt_avg,rt_max,rt_std,rt_total,time_delta,follower,friends,eleted
cheadlelabour,2,1.575,16,3.364427886,126,118.7,915.725,51811,5803.449573,73258,1.151898734,1458,1516,1
ChrisJVince,3,5.101036269,102,8.457308148,1969,121.5958549,43.37823834,6124,430.7241907,16744,0.241558442,2498,2186,1
billcashmore,3,2.105882353,56,7.09104411,179,131.4352941,439.1294118,14789,1701.22138,37326,1.107142857,216,186,0
CheshamAmersham,4,0.653061224,12,1.554685966,96,116.1836735,90,2589,355.4998971,13230,0.623287671,767,660,1
EntrepAdvocate,0,,,,0,,,,,0,,765,1963,1
bilal_labour,3,1.877094972,41,4.500338963,336,108.2625698,517.5363128,26255,2702.844085,92639,0.505617978,1801,993,1
MarishaRay4MP,5,0.728643216,53,2.622553962,435,113.6365159,255.2378559,67256,2811.172446,152377,0.073825503,400,821,1
cllrmoon,2,1.386440678,25,3.451330258,409,127.1898305,563.4101695,150383,8743.36549,166206,0.299319728,649,485,1
BridgetFox,5,1.780487805,205,9.226022833,1168,123.0777439,733.4435976,225278,9234.215442,481139,0.096183206,3964,4442,1
robertabwMP,4,3.229580574,120,8.94749507,1463,129.1677704,640.5540839,18433,1923.736392,290171,0.205752212,5000,1357,1
roy_horobin,3,0.927374302,13,1.449438084,166,110.3296089,9.273743017,582,51.26291017,1660,0.241573034,177,197,1
plaidcymruchris,3,0.387096774,12,1.331441599,60,125.5870968,142.2193548,7134,661.6668909,22044,0.584415584,119,118,1
gareththomaslab,2,0.818604651,22,2.462675404,176,110.0046512,419.972093,15925,1661.534217,90294,0.434579439,1457,2324,1
CahalBurke,3,3.407216495,35,4.077111051,661,127.3247423,3.108247423,26,3.017753999,603,0.481865285,1467,660,1
JulieMarson,3,0.827102804,58,3.60010566,354,119.3317757,345.9018692,13823,1165.858738,148046,0.217798595,1009,959,1
DavidHansonMP,4,5.580110497,564,24.49795215,4040,114.0925414,162.1740331,25047,1288.186747,117414,0.128630705,5000,5000,1
Emma4Devizes,3,0.072164948,7,0.522630592,21,129.5601375,458.6494845,51811,3150.44208,133467,0.313793103,249,105,0
RobertLibDem,4,0.383928571,16,1.691604984,43,84.70535714,97.10714286,5583,546.9576628,10876,0.801801802,113,37,1
DavidMundellDCT,1,76.6618705,801,133.4647613,10656,129.4172662,134.2374101,5131,480.8510229,18659,0.666666667,5000,602,0
ChrisLawSNP,4,17.37478992,486,43.45354753,10338,119.8773109,323.1008403,19223,1196.855759,192245,0.156565657,5000,607,1
jCalderLibDem,3,1.784313725,24,4.011325758,91,118.5294118,3.392156863,54,7.618549168,173,1.8,742,1110,1
joymorrissey,5,3.816446402,125,9.49828455,2599,120.3568282,120.0014684,24757,1130.246228,81721,0.055882353,3392,931,1
humairasanders,3,0.87804878,5,1.151777459,36,115.7073171,5345.439024,218524,33706.55447,219163,1.925,65,109,1
ChidiObihara,4,0.391891892,36,2.474104994,87,122.5405405,1734.099099,229703,15696.04028,384970,0.334841629,617,1241,0
rkdasgupta,2,1.923913043,45,4.714071663,885,125.0021739,426.5673913,38054,2706.769333,196221,0.202614379,2316,1481,1
DamianHinds,3,2.824324324,46,7.239826241,209,134.7297297,41.31081081,1442,177.3542741,3057,1.273972603,5000,1388,1
RRobinsonLD,3,0.060491493,5,0.384147775,32,128.7277883,381.9470699,44126,2205.208186,202050,0.174242424,191,522,1
timloughton,5,2.502008032,118,7.575125483,1246,116.7791165,331.3915663,44561,2485.731905,165033,0.150905433,5000,439,0
lesliecgroves,1,1.044776119,22,2.399831063,140,120.6044776,267.9776119,8133,1113.140739,35909,0.248120301,100,142,1
GregKnight,3,2.506024096,22,3.900489602,208,108.0722892,97.65060241,2330,312.2081648,8105,1.134146341,5000,229,1
JakeyLambert,2,1.32,38,4.653772663,165,118.24,1226.064,51810,5664.429863,153258,0.741935484,1055,1410,1
GreenPPCRon,0,,,,0,,,,,0,,320,380,1
DeidreBrock,3,6.114649682,274,22.41823117,2880,130.7919321,175.3800425,9783,685.497298,82604,0.19787234,5000,3189,0
lornagreens,4,1.298619824,86,5.470914136,1035,122.9058971,336.9686324,47928,2241.926217,268564,0.116834171,1424,1743,1
Mandytelford,2,0.493506494,18,2.144902605,76,122.0519481,177.0324675,5396,582.3508049,27263,0.60130719,1611,1394,0
KateOsamor,5,6.094339623,91,13.46696048,1292,119.5801887,1541.245283,44126,4871.074363,326744,0.066350711,5000,1073,1
ERGreens,3,0.495495495,4,0.928758484,55,121.7387387,136.4234234,4077,599.2971191,15143,0.736363636,823,1698,0
GoltonStewart,1,0.868613139,12,1.878878056,119,125.919708,101.0145985,2337,309.3892025,13839,0.676470588,1089,245,0
AlecShelbrooke,4,15.70786517,3742,228.510674,4194,125.576779,567.9026217,134475,8215.110568,151630,0.34962406,5000,500,1
DHallMatthews,4,0.366013072,24,2.138204103,56,127.5228758,670.6405229,13498,1538.045754,102608,0.592105263,1062,955,0
