Id,Label,timeset,indegree,outdegree,Degree,weighted indegree,weighted outdegree,Weighted Degree,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,modularity_class,pageranks,Authority,Hub,componentnumber,strongcompnum,clustering,eigencentrality
theswainviour,,,1,0,1,1670,0,1670,0,0,0,0,56,0.000047,0.001094,0,0,158,0,0.005761
Niallos123,,,1,0,1,194,0,194,0,0,0,0,56,0.000047,0.001094,0,0,157,0,0.005761
labour_zone,,,101,0,101,1843805,0,1843805,0,0,0,0,68,0.000285,0.088077,0,0,156,0,0.596469
rosyrosylou,,,1,0,1,556,0,556,0,0,0,0,56,0.000047,0.001094,0,0,155,0,0.005761
CambridgeLabour,,,1,0,1,3410,0,3410,0,0,0,0,56,0.000047,0.001094,0,0,154,0,0.005761
opusdigitalis,,,1,0,1,706,0,706,0,0,0,0,56,0.000047,0.001094,0,0,153,0,0.005761
B1649,,,1,0,1,76,0,76,0,0,0,0,56,0.000047,0.001094,0,0,152,0,0.005761
danjulian93,,,1,0,1,543,0,543,0,0,0,0,56,0.000047,0.001094,0,0,151,0,0.005761
M_C_Evans,,,2,0,2,1427,0,1427,0,0,0,0,82,0.00005,0.001114,0,0,150,0,0.011522
masterkeyCarole,,,1,0,1,65,0,65,0,0,0,0,56,0.000047,0.001094,0,0,149,0,0.005761
savisimple,,,1,0,1,6558,0,6558,0,0,0,0,56,0.000047,0.001094,0,0,148,0,0.005761
CambsUnite,,,1,0,1,477,0,477,0,0,0,0,56,0.000047,0.001094,0,0,147,0,0.005761
d4ngerm4us,,,1,0,1,156,0,156,0,0,0,0,56,0.000047,0.001094,0,0,146,0,0.005761
heyjackcooper,,,1,0,1,116,0,116,0,0,0,0,56,0.000047,0.001094,0,0,145,0,0.005761
ClareFKing,,,1,0,1,1440,0,1440,0,0,0,0,56,0.000047,0.001094,0,0,144,0,0.005761
davidbewart,,,1,0,1,13925,0,13925,0,0,0,0,56,0.000047,0.001094,0,0,143,0,0.005761
Locat1970,,,1,0,1,8,0,8,0,0,0,0,56,0.000047,0.001094,0,0,142,0,0.005761
PALythgoe,,,1,0,1,230,0,230,0,0,0,0,56,0.000047,0.001094,0,0,141,0,0.005761
ArtieShawFan,,,1,0,1,1530,0,1530,0,0,0,0,56,0.000047,0.001094,0,0,140,0,0.005761
insportfoto,,,1,0,1,1587,0,1587,0,0,0,0,56,0.000047,0.001094,0,0,139,0,0.005761
JubileeCentre,,,1,0,1,1247,0,1247,0,0,0,0,56,0.000047,0.001094,0,0,138,0,0.005761
acgardener,,,1,0,1,72,0,72,0,0,0,0,56,0.000047,0.001094,0,0,137,0,0.005761
SandieBlickem,,,1,0,1,659,0,659,0,0,0,0,56,0.000047,0.001094,0,0,136,0,0.005761
MancunianBirder,,,4,0,4,14846,0,14846,0,0,0,0,0,0.000052,0.002344,0,0,135,0,0.023044
robevansgdn,,,1,0,1,5516,0,5516,0,0,0,0,56,0.000047,0.001094,0,0,134,0,0.005761
beholdcosmicwav,,,1,0,1,2907,0,2907,0,0,0,0,56,0.000047,0.001094,0,0,133,0,0.005761
johnstevenson_x,,,1,0,1,1977,0,1977,0,0,0,0,56,0.000047,0.001094,0,0,132,0,0.005761
richardmarcj,,,3,0,3,6282,0,6282,0,0,0,0,56,0.00005,0.001215,0,0,131,0,0.022356
weebleface,,,1,0,1,884,0,884,0,0,0,0,56,0.000047,0.001094,0,0,130,0,0.005761
tandrews_labour,,,1,0,1,212,0,212,0,0,0,0,56,0.000047,0.001094,0,0,129,0,0.005761
russelljj,,,2,0,2,1799,0,1799,0,0,0,0,67,0.000049,0.00122,0,0,128,0,0.011522
Gerrycambridge,,,1,0,1,234,0,234,0,0,0,0,56,0.000047,0.001094,0,0,127,0,0.005761
h1llbillies,,,1,0,1,2092,0,2092,0,0,0,0,56,0.000047,0.001094,0,0,126,0,0.005761
EMJP1981,,,1,0,1,139,0,139,0,0,0,0,56,0.000047,0.001094,0,0,125,0,0.005761
nickclarkecambs,,,2,0,2,16301,0,16301,0,0,0,0,3,0.000049,0.001342,0,0,124,0,0.011522
BeccadT,,,2,0,2,2168,0,2168,0,0,0,0,75,0.000051,0.001156,0,0,123,0,0.011522
twhall091,,,1,0,1,651,0,651,0,0,0,0,56,0.000047,0.001094,0,0,122,0,0.005761
CardozoAth,,,1,0,1,4736,0,4736,0,0,0,0,56,0.000047,0.001094,0,0,121,0,0.005761
helpinghandsip,,,1,0,1,169,0,169,0,0,0,0,56,0.000047,0.001094,0,0,120,0,0.005761
CambsGuidedog,,,1,0,1,248,0,248,0,0,0,0,56,0.000047,0.001094,0,0,119,0,0.005761
suegray834,,,8,0,8,12390,0,12390,0,0,0,0,68,0.000058,0.005888,0,0,118,0,0.046089
skillsmark,,,1,0,1,545,0,545,0,0,0,0,56,0.000047,0.001094,0,0,117,0,0.005761
DenzpDp,,,3,0,3,2140,0,2140,0,0,0,0,56,0.000051,0.001175,0,0,116,0,0.017283
Tonestiger,,,1,0,1,621,0,621,0,0,0,0,56,0.000047,0.001094,0,0,115,0,0.005761
robertcourts,,,0,6,6,0,4338,4338,1,1,1,0,111,0.000046,0,0.002803,0,197,0,0
DanielTosti,,,1,0,1,236,0,236,0,0,0,0,111,0.000053,0.000201,0,0,196,0,0.005761
WOCA_News,,,4,0,4,3356,0,3356,0,0,0,0,111,0.000058,0.001792,0,0,195,0,0.033189
riyan_sumindar,,,1,0,1,1565,0,1565,0,0,0,0,111,0.000053,0.000201,0,0,194,0,0.005761
SherrynHikins,,,1,0,1,212,0,212,0,0,0,0,111,0.000053,0.000201,0,0,193,0,0.005761
techpixieabby,,,1,0,1,94,0,94,0,0,0,0,111,0.000053,0.000201,0,0,192,0,0.005761
EuroTories,,,16,0,16,38174,0,38174,0,0,0,0,111,0.000072,0.03645,0,0,191,0,0.095827
Eluned_Parrott,,,0,14,14,0,54702,54702,1,1,1,0,62,0.000046,0,0.001332,0,212,0,0
StonewallCymru,,,1,0,1,8218,0,8218,0,0,0,0,62,0.000049,0.000096,0,0,211,0,0.005761
Uffithecat,,,1,0,1,60,0,60,0,0,0,0,62,0.000049,0.000096,0,0,210,0,0.005761
nakedcitizens1,,,1,0,1,431,0,431,0,0,0,0,62,0.000049,0.000096,0,0,209,0,0.005761
SiriolB,,,1,0,1,575,0,575,0,0,0,0,62,0.000049,0.000096,0,0,208,0,0.005761
LiberalMorgan,,,5,0,5,10485,0,10485,0,0,0,0,75,0.000072,0.000205,0,0,207,0,0.036105
cymroglyn,,,1,0,1,734,0,734,0,0,0,0,62,0.000049,0.000096,0,0,206,0,0.005761
joseph_carterUK,,,2,0,2,3950,0,3950,0,0,0,0,75,0.000051,0.000157,0,0,205,0,0.011522
RussGlennon,,,1,0,1,3018,0,3018,0,0,0,0,62,0.000049,0.000096,0,0,204,0,0.005761
malws,,,1,0,1,62,0,62,0,0,0,0,62,0.000049,0.000096,0,0,203,0,0.005761
suzydaviesam,,,2,0,2,19974,0,19974,0,0,0,0,62,0.000053,0.000928,0,0,202,0,0.011522
angelneptustar,,,2,0,2,40469,0,40469,0,0,0,0,62,0.00005,0.001027,0,0,201,0,0.011522
EscaRecruitment,,,1,0,1,5060,0,5060,0,0,0,0,62,0.000049,0.000096,0,0,200,0,0.005761
UndebPlaidCymru,,,1,0,1,2878,0,2878,0,0,0,0,62,0.000049,0.000096,0,0,199,0,0.005761
JFinchSaunders,,,5,0,5,26256,0,26256,0,0,0,0,3,0.000054,0.015377,0,0,198,0,0.028805
Georgina_Milne,,,0,48,48,0,90621,90621,2,0.735294,0.82,0,153,0.000046,0,0.000201,0,288,0.00266,0
JLavery48,,,1,0,1,44,0,44,0,0,0,0,153,0.000047,0.000014,0,0,287,0,0.005761
raiderfra,,,2,0,2,1194,0,1194,0,0,0,0,55,0.00005,0.000038,0,0,258,0.5,0.015172
CllrJohnBarry,,,2,0,2,7946,0,7946,0,0,0,0,153,0.000049,0.000029,0,0,286,0,0.011522
Hayles_Sophie,,,1,0,1,488,0,488,0,0,0,0,153,0.000047,0.000014,0,0,285,0,0.005761
GreenDave4AYS,,,13,0,13,24583,0,24583,0,0,0,0,56,0.000082,0.000564,0,0,284,0,0.095184
DawnPEastAntri1,,,4,0,4,8278,0,8278,0,0,0,0,153,0.000054,0.000054,0,0,227,0.166667,0.030344
MickMcKernan,,,1,0,1,581,0,581,0,0,0,0,153,0.000047,0.000014,0,0,283,0,0.005761
housewife_hell,,,1,0,1,222,0,222,0,0,0,0,153,0.000047,0.000014,0,0,282,0,0.005761
LindaFStewart,,,1,0,1,5838,0,5838,0,0,0,0,153,0.000047,0.000014,0,0,281,0,0.005761
ihiccupalot,,,2,0,2,10472,0,10472,0,0,0,0,153,0.000049,0.000016,0,0,230,0.5,0.015172
peablair,,,1,0,1,3894,0,3894,0,0,0,0,153,0.000047,0.000014,0,0,280,0,0.005761
beverleybrown9,,,1,0,1,31,0,31,0,0,0,0,153,0.000047,0.000014,0,0,279,0,0.005761
SustransNI,,,1,0,1,4169,0,4169,0,0,0,0,153,0.000047,0.000014,0,0,278,0,0.005761
dawnpurvis,,,1,0,1,8965,0,8965,0,0,0,0,153,0.000047,0.000014,0,0,277,0,0.005761
MayorofNantes,,,2,0,2,1720,0,1720,0,0,0,0,55,0.00005,0.000038,0,0,260,0.5,0.015172
nigreenways,,,2,0,2,23725,0,23725,0,0,0,0,153,0.000051,0.000019,0,0,276,0,0.011522
SBelfastGreens,,,1,0,1,3938,0,3938,0,0,0,0,153,0.000047,0.000014,0,0,275,0,0.005761
James__Dixon,,,1,0,1,1736,0,1736,0,0,0,0,153,0.000047,0.000014,0,0,274,0,0.005761
Suparl,,,1,0,1,1189,0,1189,0,0,0,0,153,0.000047,0.000014,0,0,273,0,0.005761
