screen_name,RT_pos,RT_neg,negative,positive,device_count_10,device_count,fav_avg,fav_max,fav_std,fav_total,len_mean,rt_avg,rt_max,rt_std,rt_total,time_delta_10,time_delta,follower,friends,eleted,indegree,outdegree,Degree,weighted indegree,weighted outdegree,Weighted Degree,Eccentricity-100,Eccentricity,closnesscentrality-100,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality-100,betweenesscentrality,modularity_class,pageranks,Authority,Hub,componentnumber,strongcompnum,clustering,eigencentrality,eigencentrality-1000
mpntod,0.751048442,0.248951558,0.29083864,0.70916136,100,10,0.486058302,47,2.285429863,767,117.734474,3734.146388,3622845,91871.80367,5892483,2.98034242,0.298034242,3669,3510,1,1,0,1,4406,0,4406,0,0,0,0,0,0,0,22,4.70E-05,8.20E-05,0,0,9,0,0.005761,5.761
AledMorganH,0.227096218,0.772903782,0.220663632,0.779336368,100,10,1.62586852,86,5.003264993,3042,107.2816676,490.9834313,188558,6617.15388,918630,2.52941176,0.252941176,1590,1484,1,25,0,25,42985,0,42985,0,0,0,0,0,0,0,6,0.000139,0.002479,0,0,8,0.003333,0.192244,192.244
sarahjolney1,0.239865161,0.760134839,0.077214063,0.922785937,100,10,32.04014273,4081,163.2342635,35917,114.3728814,206.5611062,37973,1760.165889,231555,4.85714286,0.485714286,5000,626,0,2,0,2,6982,0,6982,0,0,0,0,0,0,0,43,4.80E-05,0.000321,0,0,7,0,0.011522,11.522
RykDownes,0.053729979,0.946270021,0.052190643,0.947809357,100,10,0.260495156,37,1.449902626,242,97.41550054,180.5037675,121018,4022.259859,167688,7.82327586,0.782327586,679,442,1,0,27,27,0,49821,49821,300,3,62,0.62,0.709677,0,0,75,4.60E-05,0,0.002322,0,114,0.005698,0,0
Mark_Spencer,0.212846404,0.787153596,0.130560877,0.869439123,100,10,1.28331467,144,5.824161109,1146,121.7480403,56.02799552,10638,479.3820798,50033,8.17264574,0.817264574,5000,867,1,3,0,3,22330,0,22330,0,0,0,0,0,0,0,75,5.10E-05,0.000353,0,0,95,0.166667,0.024583,24.583
sheryllmurray,0.048132622,0.951867378,0.267674184,0.732325816,100,10,4.52557673,1209,40.43979139,4512,115.4353059,48.69508526,11205,394.5074317,48549,7.31927711,0.731927711,5000,372,0,20,0,20,108944,0,108944,0,0,0,0,0,0,0,75,0.000111,0.002301,0,0,89,0.002632,0.165855,165.855
jordslw,0.286624175,0.713375825,0.144810816,0.855189184,100,10,0.409682081,79,2.52655124,567,91.8699422,136.5830925,169388,4553.104808,189031,5.25668836,0.525668836,328,379,0,1,0,1,2271,0,2271,0,0,0,0,0,0,0,75,4.80E-05,0.000167,0,0,113,0,0.005761,5.761
DanielMNorton,0.075404135,0.924595865,0.728838784,0.271161216,100,10,0.133168927,10,0.671433819,108,127.7768187,685.3094945,229701,8412.712268,555786,8.81481481,0.881481481,261,449,1,1,0,1,317,0,317,0,0,0,0,0,0,0,75,4.80E-05,0.000167,0,0,112,0,0.005761,5.761
lucyvsalek,0.234947142,0.765052858,0.293358936,0.706641064,100,10,0.484340045,76,3.411436346,866,124.4608501,443.3104027,105067,3629.033074,792639,1.25909345,0.125909345,2437,2300,0,9,0,9,8866,0,8866,0,0,0,0,0,0,0,1,6.20E-05,0.001055,0,0,111,0,0.060294,60.294
margot_james_mp,0.272996764,0.727003236,0.216787726,0.783212274,100,10,3.696139477,164,8.682360557,5936,122.0591532,29.43524284,6111,253.8131719,47273,4.54205607,0.454205607,5000,1140,1,1,0,1,1470,0,1470,0,0,0,0,0,0,0,75,4.80E-05,0.000167,0,0,110,0,0.005761,5.761
KateGreenSU,0.024939677,0.975060323,0.014842511,0.985157489,100,10,4.74807396,214,12.77295571,6163,117.5215716,76.46841294,10933,472.4206924,99256,2.42868157,0.242868157,5000,1407,0,2,0,2,786,0,786,0,0,0,0,0,0,0,75,4.90E-05,0.000299,0,0,98,0.5,0.018822,18.822
NewhamGreens,0.384545403,0.615454597,0.679404161,0.320595839,100,10,0.464746773,29,1.793317207,468,123.4419067,508.8301887,150382,6576.813745,512392,7.20675944,0.720675944,1276,1082,1,2,0,2,4724,0,4724,0,0,0,0,0,0,0,75,4.90E-05,0.000299,0,0,105,0.5,0.018822,18.822
cllrccarubia,0.751478012,0.248521988,0.356601542,0.643398458,100,10,0.174855491,7,0.535595871,363,110.5428709,468.9214836,227797,6111.457887,973481,3.51325301,0.351325301,226,116,1,1,0,1,246,0,246,0,0,0,0,0,0,0,75,4.80E-05,0.000167,0,0,109,0,0.005761,5.761
margarethodge,0.784647364,0.215352636,0.078999566,0.921000434,90,9,5.22907489,109,12.09350892,3561,121.3113069,9.374449339,424,23.4528776,6384,10.72058824,1.072058824,5000,1345,1,1,0,1,516,0,516,0,0,0,0,0,0,0,75,4.80E-05,0.000167,0,0,108,0,0.005761,5.761
SteMorris,0.329657725,0.670342275,0.278034076,0.721965924,90,9,0.253676471,16,1.027196935,276,119.0909926,162.3740809,50472,1856.846026,176663,3.31186753,0.331186753,659,245,1,2,26,28,10014,58804,68818,200,2,88.2353,0.882353,0.933333,5250,52.5,75,4.90E-05,0.000269,0.001847,0,107,0.007937,0.011522,11.522
simonfell,0.376439613,0.623560387,0.38169993,0.61830007,90,9,0.930362117,34,2.165993859,1336,102.8850975,50.9045961,10089,362.6253793,73099,5.07317073,0.507317073,727,770,1,1,0,1,227,0,227,0,0,0,0,0,0,0,75,4.80E-05,0.000167,0,0,80,0,0.005761,5.761
WarrenLFox,0.96495708,0.03504292,0.091185114,0.908814886,90,9,0.886654479,39,2.26489487,970,96.20749543,18.78793419,8945,291.5697928,20554,6.66971638,0.666971638,1866,2467,0,1,0,1,8410,0,8410,0,0,0,0,0,0,0,75,4.80E-05,0.000167,0,0,79,0,0.005761,5.761
PaulforMP,0.287826337,0.712173663,0.284671705,0.715328295,90,9,0.340046476,18,1.487286582,439,124.8334624,601.3415957,106799,4830.363491,776332,5.65116279,0.565116279,315,230,1,1,0,1,556,0,556,0,0,0,0,0,0,0,75,4.80E-05,0.000167,0,0,78,0,0.005761,5.761
shales73,0.711944259,0.288055741,0.67744012,0.32255988,90,9,0.388117712,74,2.158323341,699,121.6851749,454.5363687,185216,5353.154102,818620,4.04444444,0.404444444,686,1133,1,5,0,5,6594,0,6594,0,0,0,0,0,0,0,75,5.40E-05,0.015594,0,0,77,0,0.033878,33.878
DNuttall,0.859082193,0.140917807,0.807401952,0.192598048,90,9,4.630208333,1105,57.9429382,1778,114.2395833,97.75,10638,701.3930632,37536,18.74673629,1.874673629,5000,760,1,1,0,1,338,0,338,0,0,0,0,0,0,0,75,4.80E-05,0.000167,0,0,76,0,0.005761,5.761
AndrewCreak,0.091649117,0.908350883,0.89581154,0.10418846,90,9,0.558052434,24,1.82917491,596,106.7368914,82.28745318,35928,1367.801378,87883,6.82286785,0.682286785,597,925,1,1,0,1,880,0,880,0,0,0,0,0,0,0,75,4.80E-05,0.000167,0,0,75,0,0.005761,5.761
MartinChelt,0.502217441,0.497782559,0.214877678,0.785122322,90,9,2.61596599,287,9.549977441,5538,116.2701937,719.7557865,410289,11291.95411,1523723,3.27504726,0.327504726,5000,5000,1,3,0,3,13997,0,13997,0,0,0,0,0,0,0,39,5.70E-05,0.006231,0,0,74,0,0.017283,17.283
AndyD_Newman,0.61912573,0.38087427,0.537392461,0.462607539,90,9,0.324189526,107,2.975036912,780,123.0399002,358.9596841,218523,4695.387433,863657,3.03118503,0.303118503,1830,1594,1,1,0,1,357,0,357,0,0,0,0,0,0,0,75,4.80E-05,0.000167,0,0,73,0,0.005761,5.761
JenniferBrathwa,0.578602362,0.421397638,0.359512704,0.640487296,90,9,1.606034483,44,3.180619892,1863,123.6387931,25.28362069,15501,506.3644504,29329,6.27264884,0.627264884,2078,94,0,2,11,13,1277,20376,21653,100,1,100,1,1,2100,21,75,4.90E-05,0.0003,0.000655,0,72,0,0.011522,11.522
InclusionQuery,0.207944275,0.792055725,0.086627264,0.913372736,90,9,0.094827586,7,0.68201588,11,82.5,1.301724138,83,8.283989364,151,59.2173913,5.92173913,243,172,0,5,0,5,8505,0,8505,0,0,0,0,0,0,0,149,8.40E-05,0.000389,0,0,60,0,0.0336,33.6
elis_wilson,0.754159193,0.245840807,0.967730644,0.032269356,90,9,0.310118265,8,0.839883048,236,123.9605782,210.0998686,46893,2151.659343,159886,9.25,0.925,139,53,0,1,0,1,1915,0,1915,0,0,0,0,0,0,0,75,4.80E-05,0.000167,0,0,59,0,0.005761,5.761
carlminns,0.195495085,0.804504915,0.569793483,0.430206517,90,9,0.494683544,64,1.968317945,977,93.61417722,226.1711392,79333,2281.095671,446688,2.18844985,0.218844985,2431,1146,1,1,0,1,1076,0,1076,0,0,0,0,0,0,0,75,4.80E-05,0.000167,0,0,58,0,0.005761,5.761
GonulDaniels,0.24639173,0.75360827,0.061241891,0.938758109,90,9,2.487111111,51,4.910855378,2798,111.0364444,22.47644444,3992,167.2875758,25286,6.48576512,0.648576512,2028,2564,0,1,0,1,536,0,536,0,0,0,0,0,0,0,75,4.80E-05,0.000167,0,0,57,0,0.005761,5.761
CliveEfford,0.036860662,0.963139338,0.037871723,0.962128277,90,9,5.482866044,352,17.47817114,7040,122.4517134,80.87772586,18521,688.9347435,103847,5.66640686,0.566640686,5000,2506,1,1,0,1,583,0,583,0,0,0,0,0,0,0,75,4.80E-05,0.000167,0,0,56,0,0.005761,5.761
fivanmierlo,0.095326097,0.904673903,0.08667279,0.91332721,90,9,1.004143646,48,2.686416509,727,113.8190608,5290.301105,3622825,134554.5572,3830178,10.05532503,1.005532503,436,850,1,1,0,1,273,0,273,0,0,0,0,0,0,0,75,4.80E-05,0.000167,0,0,55,0,0.005761,5.761
GreenbankGreens,0.727239057,0.272760943,0.10339224,0.89660776,90,9,0.264964789,25,1.207096679,301,126.9049296,169.4788732,15254,830.3433202,192528,6.32599119,0.632599119,638,547,0,0,75,75,0,273894,273894,100,1,100,1,1,0,0,56,4.60E-05,0,0.015243,0,190,0,0,0
